Column 3| A:0	C:0	G:0	T:0	-:94	
Likelihood	Scale	Scale2
-3.144377	95.989902	1.000000
-3.144377	95.989903	1.000000
-3.144273	96.000131	1.000000
-3.144273	96.000132	1.000000
-3.144273	96.000133	1.000000
-3.143537	96.072109	1.000000
-3.143537	96.072110	1.000000
-3.143537	96.072111	1.000000
-3.143432	96.082330	1.000000
-3.143432	96.082331	1.000000
-3.143432	96.082332	1.000000
-3.143328	96.092550	1.000000
-3.143328	96.092551	1.000000
-3.143328	96.092552	1.000000
-3.143223	96.102768	1.000000
-3.143223	96.102769	1.000000
-3.143223	96.102770	1.000000
-3.143119	96.112986	1.000000
-3.143119	96.112987	1.000000
-3.143119	96.112988	1.000000
-3.142563	96.167373	1.000000
-3.142563	96.167374	1.000000
-3.142563	96.167375	1.000000
-3.139396	96.478077	1.000000
-3.139396	96.478078	1.000000
-3.139396	96.478079	1.000000
-3.139293	96.488254	1.000000
-3.139293	96.488255	1.000000
-3.139293	96.488256	1.000000
-3.136761	96.737322	1.000000
-3.136761	96.737323	1.000000
-3.136761	96.737324	1.000000
-3.132771	97.131358	1.000000
-3.132771	97.131359	1.000000
-3.132771	97.131360	1.000000
-3.132668	97.141465	1.000000
-3.132668	97.141466	1.000000
-3.132668	97.141467	1.000000
-3.131214	97.285497	1.000000
-3.131214	97.285498	1.000000
-3.131214	97.285499	1.000000
-3.131112	97.295588	1.000000
-3.131112	97.295589	1.000000
-3.131112	97.295590	1.000000
-3.131010	97.305678	1.000000
-3.131010	97.305679	1.000000
-3.131010	97.305680	1.000000
-3.128113	97.593245	1.000000
-3.128113	97.593246	1.000000
-3.128113	97.593247	1.000000
-3.128012	97.603303	1.000000
-3.128012	97.603304	1.000000
-3.128012	97.603305	1.000000
-3.127911	97.613361	1.000000
-3.127911	97.613362	1.000000
-3.127911	97.613363	1.000000
-3.124467	97.956463	1.000000
-3.124467	97.956464	1.000000
-3.124467	97.956465	1.000000
-3.124367	97.966483	1.000000
-3.124367	97.966484	1.000000
-3.124367	97.966485	1.000000
-3.124266	97.976503	1.000000
-3.124266	97.976504	1.000000
-3.124266	97.976505	1.000000
-3.117831	98.621047	1.000000
-3.117831	98.621048	1.000000
-3.117831	98.621049	1.000000
-3.112776	99.130336	1.000000
-3.112776	99.130337	1.000000
-3.112776	99.130338	1.000000
-3.112678	99.140235	1.000000
-3.112678	99.140236	1.000000
-3.112678	99.140237	1.000000
-3.112580	99.150134	1.000000
-3.112580	99.150135	1.000000
-3.112580	99.150136	1.000000
-3.109244	99.487811	1.000000
-3.109243	99.487812	1.000000
-3.109243	99.487813	1.000000
-3.109146	99.497674	1.000000
-3.109146	99.497675	1.000000
-3.109146	99.497676	1.000000
-3.109049	99.507536	1.000000
-3.109049	99.507537	1.000000
-3.109049	99.507538	1.000000
-3.107840	99.630215	1.000000
-3.107840	99.630216	1.000000
-3.107840	99.630217	1.000000
-3.107060	99.709420	1.000000
-3.107060	99.709421	1.000000
-3.107060	99.709422	1.000000
-3.106611	99.755109	1.000000
-3.106611	99.755110	1.000000
-3.106611	99.755111	1.000000
-3.093090	101.139400	1.000000
-3.093090	101.139401	1.000000
-3.093090	101.139402	1.000000
-3.092535	101.196721	1.000000
-3.092535	101.196722	1.000000
-3.092535	101.196723	1.000000
-3.092441	101.206414	1.000000
-3.092441	101.206415	1.000000
-3.092441	101.206416	1.000000
-3.085641	101.910432	1.000000
-3.085641	101.910433	1.000000
-3.085641	101.910434	1.000000
-3.085257	101.950341	1.000000
Column 5| A:0	C:0	G:0	T:0	-:58	
Likelihood	Scale	Scale2
-111.900207	1.000000	1.000000
-111.900207	1.000000	1.000000
-111.900206	1.000001	1.000000
-111.900206	1.000002	1.000000
-111.900206	1.000001	1.000000
Column 6| A:0	C:0	G:0	T:0	-:51	
Likelihood	Scale	Scale2
-90.915802	1.000000	1.000000
-90.915802	1.000000	1.000000
-90.915802	1.000001	1.000000
-90.915802	1.000002	1.000000
-90.915801	1.000001	1.000000
Column 7| A:0	C:0	G:0	T:0	-:27	
Likelihood	Scale	Scale2
-58.857607	1.000000	1.000000
-58.857607	1.000000	1.000000
-58.857607	1.000001	1.000000
-58.857607	1.000002	1.000000
-58.857526	0.995841	1.000000
-58.857526	0.995842	1.000000
-58.857526	0.995843	1.000000
-58.857146	0.976362	1.000000
-58.857146	0.976363	1.000000
-58.857146	0.976364	1.000000
-58.856767	0.956879	1.000000
-58.856767	0.956880	1.000000
-58.856767	0.956881	1.000000
-58.856523	0.944361	1.000000
-58.856523	0.944362	1.000000
-58.856523	0.944363	1.000000
-58.856143	0.924882	1.000000
-58.856143	0.924883	1.000000
-58.856143	0.924884	1.000000
-58.856084	0.921843	1.000000
-58.856084	0.921844	1.000000
-58.856084	0.921845	1.000000
-58.855910	0.912913	1.000000
-58.855910	0.912914	1.000000
-58.855910	0.912915	1.000000
-58.855530	0.893429	1.000000
-58.855530	0.893430	1.000000
-58.855530	0.893431	1.000000
-58.855418	0.887633	1.000000
-58.855418	0.887634	1.000000
-58.855418	0.887635	1.000000
-58.855038	0.868152	1.000000
-58.855038	0.868153	1.000000
-58.855038	0.868154	1.000000
-58.854952	0.863759	1.000000
-58.854952	0.863760	1.000000
-58.854952	0.863761	1.000000
-58.854854	0.858691	1.000000
-58.854854	0.858692	1.000000
-58.854854	0.858693	1.000000
-58.854474	0.839202	1.000000
-58.854474	0.839203	1.000000
-58.854474	0.839204	1.000000
-58.854400	0.835415	1.000000
-58.854400	0.835416	1.000000
-58.854400	0.835417	1.000000
-58.854279	0.829171	1.000000
-58.854279	0.829172	1.000000
-58.854279	0.829173	1.000000
-58.854117	0.820888	1.000000
-58.854117	0.820889	1.000000
-58.854117	0.820890	1.000000
-58.853738	0.801407	1.000000
-58.853738	0.801408	1.000000
-58.853738	0.801409	1.000000
-58.853577	0.793150	1.000000
-58.853577	0.793151	1.000000
-58.853577	0.793152	1.000000
-58.853531	0.790811	1.000000
-58.853531	0.790812	1.000000
-58.853531	0.790813	1.000000
-58.853229	0.775320	1.000000
-58.853229	0.775321	1.000000
-58.853229	0.775322	1.000000
-58.852850	0.755833	1.000000
-58.852850	0.755834	1.000000
-58.852850	0.755835	1.000000
-58.852470	0.736347	1.000000
-58.852470	0.736348	1.000000
-58.852470	0.736349	1.000000
-58.852090	0.716862	1.000000
-58.852091	0.716863	1.000000
-58.852091	0.716864	1.000000
-58.851711	0.697377	1.000000
-58.851711	0.697378	1.000000
-58.851711	0.697379	1.000000
-58.851331	0.677890	1.000000
-58.851331	0.677891	1.000000
-58.851331	0.677892	1.000000
-58.850951	0.658404	1.000000
-58.850952	0.658405	1.000000
-58.850952	0.658406	1.000000
-58.850792	0.650243	1.000000
-58.850793	0.650244	1.000000
-58.850793	0.650245	1.000000
-58.850699	0.645433	1.000000
-58.850699	0.645434	1.000000
-58.850699	0.645435	1.000000
-58.850319	0.625945	1.000000
-58.850319	0.625946	1.000000
-58.850319	0.625947	1.000000
-58.850077	0.613536	1.000000
-58.850077	0.613537	1.000000
-58.850077	0.613538	1.000000
-58.849697	0.594044	1.000000
-58.849697	0.594045	1.000000
-58.849697	0.594046	1.000000
-58.849318	0.574555	1.000000
-58.849318	0.574556	1.000000
-58.849318	0.574557	1.000000
-58.848938	0.555070	1.000000
-58.848938	0.555071	1.000000
-58.848938	0.555072	1.000000
-58.848826	0.549310	1.000000
-58.848826	0.549311	1.000000
-58.848826	0.549312	1.000000
-58.848716	0.543691	1.000000
-58.848716	0.543692	1.000000
-58.848716	0.543693	1.000000
-58.848665	0.541037	1.000000
-58.848665	0.541038	1.000000
-58.848665	0.541039	1.000000
-58.848527	0.533969	1.000000
-58.848527	0.533970	1.000000
-58.848527	0.533971	1.000000
-58.848232	0.518820	1.000000
-58.848232	0.518821	1.000000
-58.848232	0.518822	1.000000
-58.847852	0.499330	1.000000
-58.847852	0.499331	1.000000
-58.847852	0.499332	1.000000
-58.847728	0.492954	1.000000
-58.847728	0.492955	1.000000
-58.847728	0.492956	1.000000
-58.847140	0.462815	1.000000
-58.847140	0.462816	1.000000
-58.847140	0.462817	1.000000
-58.846761	0.443326	1.000000
-58.846761	0.443327	1.000000
-58.846761	0.443328	1.000000
-58.846652	0.437763	1.000000
-58.846652	0.437764	1.000000
-58.846652	0.437765	1.000000
-58.846593	0.434750	1.000000
-58.846593	0.434751	1.000000
-58.846593	0.434752	1.000000
-58.846378	0.423692	1.000000
-58.846378	0.423693	1.000000
-58.846378	0.423694	1.000000
-58.845998	0.404198	1.000000
-58.845998	0.404199	1.000000
-58.845998	0.404200	1.000000
-58.845618	0.384707	1.000000
-58.845618	0.384708	1.000000
-58.845618	0.384709	1.000000
-58.845238	0.365218	1.000000
-58.845238	0.365219	1.000000
-58.845239	0.365220	1.000000
-58.845181	0.362257	1.000000
-58.845181	0.362258	1.000000
-58.845181	0.362259	1.000000
-58.844112	0.307406	1.000000
-58.844112	0.307407	1.000000
-58.844112	0.307408	1.000000
-58.842974	0.249048	1.000000
-58.842975	0.249049	1.000000
-58.842975	0.249050	1.000000
-58.842595	0.229557	1.000000
-58.842595	0.229558	1.000000
-58.842595	0.229559	1.000000
-58.842215	0.210061	1.000000
-58.842215	0.210062	1.000000
-58.842215	0.210063	1.000000
-58.841835	0.190569	1.000000
-58.841835	0.190570	1.000000
-58.841835	0.190571	1.000000
-58.841407	0.168627	1.000000
-58.841407	0.168628	1.000000
-58.841407	0.168629	1.000000
-58.841027	0.149137	1.000000
-58.841027	0.149138	1.000000
-58.841027	0.149139	1.000000
-58.840647	0.129645	1.000000
-58.840647	0.129646	1.000000
-58.840647	0.129647	1.000000
-58.840523	0.123251	1.000000
-58.840523	0.123252	1.000000
